ACCURACIES    LOSSES    EPOCH    BATCH    NUBE_ID
0.834487915039    3.17571568489    0    0    0
0.471725463867    1.52193498611    0    0    1
0.666366577148    1.06350564957    0    0    2
0.439193725586    0.837465167046    0    0    3
0.714721679688    0.645617246628    0    0    4
0.871826171875    0.521535217762    0    0    5
0.886520385742    0.475455731153    0    0    6
0.557601928711    0.347989112139    1    0    0
0.361633300781    0.503823041916    1    0    1
0.8408203125    0.30857154727    1    0    2
0.891723632812    0.286386877298    1    0    3
0.391616821289    0.333860009909    1    0    4
0.489898681641    0.341459870338    1    0    5
0.795471191406    0.255948901176    1    0    6
0.565200805664    0.503924369812    2    0    0
0.627182006836    0.358107119799    2    0    1
0.917999267578    0.202883929014    2    0    2
0.834289550781    0.179159194231    2    0    3
0.82649230957    0.161856651306    2    0    4
0.739196777344    0.201840147376    2    0    5
0.684646606445    0.177052512765    2    0    6
0.716232299805    0.198827400804    3    0    0
0.929534912109    0.174644708633    3    0    1
0.868453979492    0.162989258766    3    0    2
0.634292602539    0.202525660396    3    0    3
0.826217651367    0.172753676772    3    0    4
0.865692138672    0.171322867274    3    0    5
0.731460571289    0.374691516161    3    0    6
0.850402832031    0.224820584059    4    0    0
0.521667480469    0.154737174511    4    0    1
