Overall Accuracy (OA)    Mean Accuracy (MA)    Mean Loss    MIoU    Epoch    NUBE_ID
0.399047851562    0.399047851562    2.14474058151    0.274774521494    0    0
0.335968017578    0.335968017578    1.86001002789    0.324893785012    0    1
0.507827758789    0.507827758789    1.68073225021    0.338283401028    0    2
0.331741333008    0.331741333008    1.86953544617    0.382329234747    0    3
0.598922729492    0.598922729492    1.26402664185    0.428293996555    0    4
0.533432006836    0.533432006836    1.15259754658    0.473569363666    0    5
0.315826416016    0.315826416016    1.30417716503    0.518966731345    0    6
0.642395019531    0.642395019531    0.963164687157    0.54381332952    0    7
0.281112670898    0.281112670898    1.18014955521    0.568759810997    1    0
0.533935546875    0.533935546875    0.902319252491    0.584824119206    1    1
0.729766845703    0.729766845703    0.859491765499    0.562056825879    1    2
0.305465698242    0.305465698242    0.933989226818    0.640540459679    1    3
0.417037963867    0.417037963867    0.713418424129    0.673781823951    1    4
